CV step,Epochs GNN,Epochs Classifier,Learning rate,Smoothing,drop_method,drop_rate,MLP Architecture,Test Accuracy,Test Precision
3,200,100,0.001,0.1,drophyperedge,0.2,"(512, 256, 128, 64)",0.9013157894736842,0.8541666666666666
4,200,100,0.001,0.1,drophyperedge,0.2,"(512, 256, 128, 64)",0.9605263157894737,0.9473684210526315
0,200,100,0.001,0.1,drophyperedge,0.5,"(512, 256, 128, 64)",0.7171052631578947,0.6804123711340206
1,200,100,0.001,0.1,drophyperedge,0.5,"(512, 256, 128, 64)",0.7960526315789473,0.8064516129032258
2,200,100,0.001,0.1,drophyperedge,0.5,"(512, 256, 128, 64)",0.8289473684210527,0.8131868131868132
3,200,100,0.001,0.1,drophyperedge,0.5,"(512, 256, 128, 64)",0.8881578947368421,0.84375
4,200,100,0.001,0.1,drophyperedge,0.5,"(512, 256, 128, 64)",0.9078947368421053,0.9230769230769231
0,200,100,0.001,0.1,drophyperedge,0.8,"(512, 256, 128, 64)",0.5855263157894737,0.5609756097560976
1,200,100,0.001,0.1,drophyperedge,0.8,"(512, 256, 128, 64)",0.6052631578947368,0.6842105263157895
2,200,100,0.001,0.1,drophyperedge,0.8,"(512, 256, 128, 64)",0.5723684210526315,0.5882352941176471
3,200,100,0.001,0.1,drophyperedge,0.8,"(512, 256, 128, 64)",0.6381578947368421,0.6296296296296297
4,200,100,0.001,0.1,drophyperedge,0.8,"(512, 256, 128, 64)",0.5328947368421053,0.6428571428571429
0,300,100,0.001,0.1,drophyperedge,0.0,"(512, 256, 128, 64)",0.4605263157894737,0.42857142857142855
1,300,100,0.001,0.1,drophyperedge,0.0,"(512, 256, 128, 64)",0.4605263157894737,0.6875
2,300,100,0.001,0.1,drophyperedge,0.0,"(512, 256, 128, 64)",0.45394736842105265,0.5
3,300,100,0.001,0.1,drophyperedge,0.0,"(512, 256, 128, 64)",0.4868421052631579,0.6666666666666666
4,300,100,0.001,0.1,drophyperedge,0.0,"(512, 256, 128, 64)",0.5657894736842105,0.8571428571428571
0,300,100,0.001,0.1,drophyperedge,0.01,"(512, 256, 128, 64)",0.9013157894736842,0.8539325842696629
1,300,100,0.001,0.1,drophyperedge,0.01,"(512, 256, 128, 64)",0.9671052631578947,0.946236559139785
