CV step,Epochs GNN,Epochs Classifier,Learning rate,Smoothing,drop_method,drop_rate,MLP Architecture,Test Accuracy,Test Precision
3,100,100,0.001,0.05,drophyperedge,0.2,"(512, 256, 128, 64)",0.9210526315789473,0.8901098901098901
4,100,100,0.001,0.05,drophyperedge,0.2,"(512, 256, 128, 64)",0.9539473684210527,0.9375
0,100,100,0.001,0.05,drophyperedge,0.5,"(512, 256, 128, 64)",0.9078947368421053,0.8555555555555555
1,100,100,0.001,0.05,drophyperedge,0.5,"(512, 256, 128, 64)",0.9407894736842105,0.9157894736842105
2,100,100,0.001,0.05,drophyperedge,0.5,"(512, 256, 128, 64)",0.9210526315789473,0.8817204301075269
3,100,100,0.001,0.05,drophyperedge,0.5,"(512, 256, 128, 64)",0.9078947368421053,0.8791208791208791
4,100,100,0.001,0.05,drophyperedge,0.5,"(512, 256, 128, 64)",0.9407894736842105,0.9361702127659575
0,100,100,0.001,0.05,drophyperedge,0.8,"(512, 256, 128, 64)",0.8486842105263158,0.7956989247311828
1,100,100,0.001,0.05,drophyperedge,0.8,"(512, 256, 128, 64)",0.8881578947368421,0.8446601941747572
2,100,100,0.001,0.05,drophyperedge,0.8,"(512, 256, 128, 64)",0.9276315789473685,0.9285714285714286
3,100,100,0.001,0.05,drophyperedge,0.8,"(512, 256, 128, 64)",0.9013157894736842,0.8863636363636364
4,100,100,0.001,0.05,drophyperedge,0.8,"(512, 256, 128, 64)",0.9078947368421053,0.9230769230769231
0,100,100,0.001,0.1,drophyperedge,0.0,"(512, 256, 128, 64)",0.5789473684210527,0.7058823529411765
1,100,100,0.001,0.1,drophyperedge,0.0,"(512, 256, 128, 64)",0.5197368421052632,0.7586206896551724
2,100,100,0.001,0.1,drophyperedge,0.0,"(512, 256, 128, 64)",0.47368421052631576,0.5714285714285714
3,100,100,0.001,0.1,drophyperedge,0.0,"(512, 256, 128, 64)",0.5197368421052632,0.7272727272727273
4,100,100,0.001,0.1,drophyperedge,0.0,"(512, 256, 128, 64)",0.5986842105263158,0.8571428571428571
0,100,100,0.001,0.1,drophyperedge,0.01,"(512, 256, 128, 64)",0.9342105263157895,0.8863636363636364
1,100,100,0.001,0.1,drophyperedge,0.01,"(512, 256, 128, 64)",0.9342105263157895,0.9148936170212766
2,100,100,0.001,0.1,drophyperedge,0.01,"(512, 256, 128, 64)",0.9276315789473685,0.8913043478260869
3,100,100,0.001,0.1,drophyperedge,0.01,"(512, 256, 128, 64)",0.9539473684210527,0.9318181818181818
4,100,100,0.001,0.1,drophyperedge,0.01,"(512, 256, 128, 64)",0.9736842105263158,0.9578947368421052
0,100,100,0.001,0.1,drophyperedge,0.1,"(512, 256, 128, 64)",0.9078947368421053,0.8478260869565217
1,100,100,0.001,0.1,drophyperedge,0.1,"(512, 256, 128, 64)",0.9342105263157895,0.90625
2,100,100,0.001,0.1,drophyperedge,0.1,"(512, 256, 128, 64)",0.9276315789473685,0.9285714285714286
3,100,100,0.001,0.1,drophyperedge,0.1,"(512, 256, 128, 64)",0.9539473684210527,0.9418604651162791
4,100,100,0.001,0.1,drophyperedge,0.1,"(512, 256, 128, 64)",0.9539473684210527,0.9375
0,100,100,0.001,0.1,drophyperedge,0.2,"(512, 256, 128, 64)",0.9210526315789473,0.8666666666666667
1,100,100,0.001,0.1,drophyperedge,0.2,"(512, 256, 128, 64)",0.9407894736842105,0.9157894736842105
2,100,100,0.001,0.1,drophyperedge,0.2,"(512, 256, 128, 64)",0.9210526315789473,0.8817204301075269
3,100,100,0.001,0.1,drophyperedge,0.2,"(512, 256, 128, 64)",0.9407894736842105,0.9111111111111111
4,100,100,0.001,0.1,drophyperedge,0.2,"(512, 256, 128, 64)",0.9473684210526315,0.9278350515463918
0,100,100,0.001,0.1,drophyperedge,0.5,"(512, 256, 128, 64)",0.9407894736842105,0.896551724137931
1,100,100,0.001,0.1,drophyperedge,0.5,"(512, 256, 128, 64)",0.9210526315789473,0.8958333333333334
2,100,100,0.001,0.1,drophyperedge,0.5,"(512, 256, 128, 64)",0.9210526315789473,0.898876404494382
3,100,100,0.001,0.1,drophyperedge,0.5,"(512, 256, 128, 64)",0.9276315789473685,0.9090909090909091
4,100,100,0.001,0.1,drophyperedge,0.5,"(512, 256, 128, 64)",0.9539473684210527,0.9468085106382979
0,100,100,0.001,0.1,drophyperedge,0.8,"(512, 256, 128, 64)",0.8421052631578947,0.78125
1,100,100,0.001,0.1,drophyperedge,0.8,"(512, 256, 128, 64)",0.875,0.8349514563106796
2,100,100,0.001,0.1,drophyperedge,0.8,"(512, 256, 128, 64)",0.9078947368421053,0.9058823529411765
3,100,100,0.001,0.1,drophyperedge,0.8,"(512, 256, 128, 64)",0.8289473684210527,0.8433734939759037
4,100,100,0.001,0.1,drophyperedge,0.8,"(512, 256, 128, 64)",0.875,0.875
0,100,100,0.001,0.2,drophyperedge,0.0,"(512, 256, 128, 64)",0.756578947368421,0.847457627118644
1,100,100,0.001,0.2,drophyperedge,0.0,"(512, 256, 128, 64)",0.5921052631578947,0.8611111111111112
2,100,100,0.001,0.2,drophyperedge,0.0,"(512, 256, 128, 64)",0.4342105263157895,0.4117647058823529
3,100,100,0.001,0.2,drophyperedge,0.0,"(512, 256, 128, 64)",0.4868421052631579,0.6666666666666666
4,100,100,0.001,0.2,drophyperedge,0.0,"(512, 256, 128, 64)",0.756578947368421,0.9090909090909091
0,100,100,0.001,0.2,drophyperedge,0.01,"(512, 256, 128, 64)",0.9276315789473685,0.8850574712643678
1,100,100,0.001,0.2,drophyperedge,0.01,"(512, 256, 128, 64)",0.9539473684210527,0.9263157894736842
2,100,100,0.001,0.2,drophyperedge,0.01,"(512, 256, 128, 64)",0.9210526315789473,0.8817204301075269
3,100,100,0.001,0.2,drophyperedge,0.01,"(512, 256, 128, 64)",0.9276315789473685,0.9
4,100,100,0.001,0.2,drophyperedge,0.01,"(512, 256, 128, 64)",0.9868421052631579,0.978494623655914
0,100,100,0.001,0.2,drophyperedge,0.1,"(512, 256, 128, 64)",0.9407894736842105,0.9259259259259259
1,100,100,0.001,0.2,drophyperedge,0.1,"(512, 256, 128, 64)",0.9473684210526315,0.9545454545454546
2,100,100,0.001,0.2,drophyperedge,0.1,"(512, 256, 128, 64)",0.9210526315789473,0.8817204301075269
3,100,100,0.001,0.2,drophyperedge,0.1,"(512, 256, 128, 64)",0.868421052631579,0.8247422680412371
4,100,100,0.001,0.2,drophyperedge,0.1,"(512, 256, 128, 64)",0.9671052631578947,0.9574468085106383
