CV step,Epochs GNN,Epochs Classifier,Learning rate,Smoothing,drop_method,drop_rate,MLP Architecture,Test Accuracy,Test Precision
0,100,100,0.001,0.1,dropedge,0.5,"(512, 256, 128, 64)",0.9013157894736842,0.8461538461538461
1,100,100,0.001,0.1,dropedge,0.5,"(512, 256, 128, 64)",0.9013157894736842,0.8686868686868687
2,100,100,0.001,0.1,dropedge,0.5,"(512, 256, 128, 64)",0.8881578947368421,0.8666666666666667
3,100,100,0.001,0.1,dropedge,0.5,"(512, 256, 128, 64)",0.8486842105263158,0.8333333333333334
4,100,100,0.001,0.1,dropedge,0.5,"(512, 256, 128, 64)",0.9342105263157895,0.945054945054945
0,100,100,0.001,0.1,dropedge,0.8,"(512, 256, 128, 64)",0.7302631578947368,0.6947368421052632
1,100,100,0.001,0.1,dropedge,0.8,"(512, 256, 128, 64)",0.7763157894736842,0.77
2,100,100,0.001,0.1,dropedge,0.8,"(512, 256, 128, 64)",0.7894736842105263,0.7931034482758621
3,100,100,0.001,0.1,dropedge,0.8,"(512, 256, 128, 64)",0.7828947368421053,0.7659574468085106
4,100,100,0.001,0.1,dropedge,0.8,"(512, 256, 128, 64)",0.7631578947368421,0.8313253012048193
0,100,100,0.001,0.5,dropedge,0.0,"(512, 256, 128, 64)",0.4868421052631579,0.5
1,100,100,0.001,0.5,dropedge,0.0,"(512, 256, 128, 64)",0.4342105263157895,0.5384615384615384
2,100,100,0.001,0.5,dropedge,0.0,"(512, 256, 128, 64)",0.4473684210526316,0.42857142857142855
3,100,100,0.001,0.5,dropedge,0.0,"(512, 256, 128, 64)",0.46710526315789475,0.55
4,100,100,0.001,0.5,dropedge,0.0,"(512, 256, 128, 64)",0.5,0.8947368421052632
0,100,100,0.001,0.5,dropedge,0.01,"(512, 256, 128, 64)",0.8947368421052632,0.8444444444444444
1,100,100,0.001,0.5,dropedge,0.01,"(512, 256, 128, 64)",0.9407894736842105,0.9247311827956989
2,100,100,0.001,0.5,dropedge,0.01,"(512, 256, 128, 64)",0.9276315789473685,0.9186046511627907
3,100,100,0.001,0.5,dropedge,0.01,"(512, 256, 128, 64)",0.8947368421052632,0.8764044943820225
4,100,100,0.001,0.5,dropedge,0.01,"(512, 256, 128, 64)",0.9144736842105263,0.89
0,100,100,0.001,0.5,dropedge,0.1,"(512, 256, 128, 64)",0.8223684210526315,0.7628865979381443
1,100,100,0.001,0.5,dropedge,0.1,"(512, 256, 128, 64)",0.8223684210526315,0.8674698795180723
2,100,100,0.001,0.5,dropedge,0.1,"(512, 256, 128, 64)",0.8421052631578947,0.8314606741573034
3,100,100,0.001,0.5,dropedge,0.1,"(512, 256, 128, 64)",0.7960526315789473,0.825
4,100,100,0.001,0.5,dropedge,0.1,"(512, 256, 128, 64)",0.9013157894736842,0.88
0,100,100,0.001,0.5,dropedge,0.2,"(512, 256, 128, 64)",0.7894736842105263,0.7555555555555555
1,100,100,0.001,0.5,dropedge,0.2,"(512, 256, 128, 64)",0.8552631578947368,0.84375
2,100,100,0.001,0.5,dropedge,0.2,"(512, 256, 128, 64)",0.7894736842105263,0.7802197802197802
3,100,100,0.001,0.5,dropedge,0.2,"(512, 256, 128, 64)",0.7763157894736842,0.8181818181818182
4,100,100,0.001,0.5,dropedge,0.2,"(512, 256, 128, 64)",0.8092105263157895,0.8229166666666666
0,100,100,0.001,0.5,dropedge,0.5,"(512, 256, 128, 64)",0.4934210526315789,0.504
1,100,100,0.001,0.5,dropedge,0.5,"(512, 256, 128, 64)",0.5526315789473685,0.5980392156862745
2,100,100,0.001,0.5,dropedge,0.5,"(512, 256, 128, 64)",0.5328947368421053,0.5625
3,100,100,0.001,0.5,dropedge,0.5,"(512, 256, 128, 64)",0.5328947368421053,0.5428571428571428
4,100,100,0.001,0.5,dropedge,0.5,"(512, 256, 128, 64)",0.5263157894736842,0.6021505376344086
0,100,100,0.001,0.5,dropedge,0.8,"(512, 256, 128, 64)",0.4868421052631579,0.5
1,100,100,0.001,0.5,dropedge,0.8,"(512, 256, 128, 64)",0.46710526315789475,0.5573770491803278
2,100,100,0.001,0.5,dropedge,0.8,"(512, 256, 128, 64)",0.4868421052631579,0.5675675675675675
3,100,100,0.001,0.5,dropedge,0.8,"(512, 256, 128, 64)",0.5789473684210527,0.5683453237410072
4,100,100,0.001,0.5,dropedge,0.8,"(512, 256, 128, 64)",0.5855263157894737,0.6372549019607843
0,100,100,0.001,0.8,dropedge,0.0,"(512, 256, 128, 64)",0.4868421052631579,0.5
1,100,100,0.001,0.8,dropedge,0.0,"(512, 256, 128, 64)",0.875,0.8876404494382022
2,100,100,0.001,0.8,dropedge,0.0,"(512, 256, 128, 64)",0.8881578947368421,0.8367346938775511
3,100,100,0.001,0.8,dropedge,0.0,"(512, 256, 128, 64)",0.5394736842105263,0.6857142857142857
4,100,100,0.001,0.8,dropedge,0.0,"(512, 256, 128, 64)",0.6973684210526315,0.7848101265822784
0,100,100,0.001,0.8,dropedge,0.01,"(512, 256, 128, 64)",0.8223684210526315,0.8072289156626506
1,100,100,0.001,0.8,dropedge,0.01,"(512, 256, 128, 64)",0.9210526315789473,0.9042553191489362
2,100,100,0.001,0.8,dropedge,0.01,"(512, 256, 128, 64)",0.868421052631579,0.8181818181818182
3,100,100,0.001,0.8,dropedge,0.01,"(512, 256, 128, 64)",0.8355263157894737,0.8085106382978723
4,100,100,0.001,0.8,dropedge,0.01,"(512, 256, 128, 64)",0.8618421052631579,0.9166666666666666
0,100,100,0.001,0.8,dropedge,0.1,"(512, 256, 128, 64)",0.7171052631578947,0.7272727272727273
1,100,100,0.001,0.8,dropedge,0.1,"(512, 256, 128, 64)",0.868421052631579,0.8777777777777778
2,100,100,0.001,0.8,dropedge,0.1,"(512, 256, 128, 64)",0.743421052631579,0.6929824561403509
3,100,100,0.001,0.8,dropedge,0.1,"(512, 256, 128, 64)",0.7697368421052632,0.7553191489361702
4,100,100,0.001,0.8,dropedge,0.1,"(512, 256, 128, 64)",0.8355263157894737,0.8
0,100,100,0.001,0.8,dropedge,0.2,"(512, 256, 128, 64)",0.5394736842105263,0.5714285714285714
1,100,100,0.001,0.8,dropedge,0.2,"(512, 256, 128, 64)",0.5328947368421053,0.5841584158415841
2,100,100,0.001,0.8,dropedge,0.2,"(512, 256, 128, 64)",0.5921052631578947,0.6153846153846154
3,100,100,0.001,0.8,dropedge,0.2,"(512, 256, 128, 64)",0.6776315789473685,0.7236842105263158
4,100,100,0.001,0.8,dropedge,0.2,"(512, 256, 128, 64)",0.7894736842105263,0.7610619469026548
0,100,100,0.001,0.8,dropedge,0.5,"(512, 256, 128, 64)",0.5263157894736842,0.53125
1,100,100,0.001,0.8,dropedge,0.5,"(512, 256, 128, 64)",0.5263157894736842,0.6111111111111112
2,100,100,0.001,0.8,dropedge,0.5,"(512, 256, 128, 64)",0.4605263157894737,0.5121951219512195
3,100,100,0.001,0.8,dropedge,0.5,"(512, 256, 128, 64)",0.4868421052631579,0.5203252032520326
4,100,100,0.001,0.8,dropedge,0.5,"(512, 256, 128, 64)",0.5921052631578947,0.6218487394957983
0,100,100,0.001,0.8,dropedge,0.8,"(512, 256, 128, 64)",0.48026315789473684,0.496
1,100,100,0.001,0.8,dropedge,0.8,"(512, 256, 128, 64)",0.5460526315789473,0.5772357723577236
2,100,100,0.001,0.8,dropedge,0.8,"(512, 256, 128, 64)",0.4934210526315789,0.5340909090909091
3,100,100,0.001,0.8,dropedge,0.8,"(512, 256, 128, 64)",0.5592105263157895,0.5625
4,100,100,0.001,0.8,dropedge,0.8,"(512, 256, 128, 64)",0.5986842105263158,0.6153846153846154
