CV step,Epochs GNN,Epochs Classifier,Learning rate,Smoothing,MLP Architecture,Test Accuracy,Test Precision
0,50,100,0.01,0.001,"(512, 256, 128, 64)",0.8157894736842105,0.7777777777777778
1,50,100,0.01,0.001,"(512, 256, 128, 64)",0.8486842105263158,0.8282828282828283
2,50,100,0.01,0.001,"(512, 256, 128, 64)",0.8421052631578947,0.8390804597701149
3,50,100,0.01,0.001,"(512, 256, 128, 64)",0.8618421052631579,0.8690476190476191
4,50,100,0.01,0.001,"(512, 256, 128, 64)",0.8026315789473685,0.8426966292134831
0,50,100,0.01,0.01,"(512, 256, 128, 64)",0.8421052631578947,0.7934782608695652
1,50,100,0.01,0.01,"(512, 256, 128, 64)",0.8552631578947368,0.8367346938775511
2,50,100,0.01,0.01,"(512, 256, 128, 64)",0.875,0.8636363636363636
3,50,100,0.01,0.01,"(512, 256, 128, 64)",0.8223684210526315,0.8111111111111111
4,50,100,0.01,0.01,"(512, 256, 128, 64)",0.868421052631579,0.8901098901098901
0,50,100,0.01,0.1,"(512, 256, 128, 64)",0.875,0.8641975308641975
1,50,100,0.01,0.1,"(512, 256, 128, 64)",0.9342105263157895,0.9239130434782609
2,50,100,0.01,0.1,"(512, 256, 128, 64)",0.9078947368421053,0.8631578947368421
3,50,100,0.01,0.1,"(512, 256, 128, 64)",0.8947368421052632,0.8764044943820225
4,50,100,0.01,0.1,"(512, 256, 128, 64)",0.3881578947368421,0.4166666666666667
0,50,100,0.1,0.001,"(512, 256, 128, 64)",0.5131578947368421,0.5131578947368421
1,50,100,0.1,0.001,"(512, 256, 128, 64)",0.5789473684210527,0.5789473684210527
2,50,100,0.1,0.001,"(512, 256, 128, 64)",0.5460526315789473,0.5460526315789473
3,50,100,0.1,0.001,"(512, 256, 128, 64)",0.5394736842105263,0.543046357615894
4,50,100,0.1,0.001,"(512, 256, 128, 64)",0.48026315789473684,0.8333333333333334
0,50,100,0.1,0.01,"(512, 256, 128, 64)",0.5131578947368421,0.5131578947368421
1,50,100,0.1,0.01,"(512, 256, 128, 64)",0.5789473684210527,0.5789473684210527
2,50,100,0.1,0.01,"(512, 256, 128, 64)",0.5855263157894737,0.5684931506849316
3,50,100,0.1,0.01,"(512, 256, 128, 64)",0.5460526315789473,0.5460526315789473
4,50,100,0.1,0.01,"(512, 256, 128, 64)",0.5986842105263158,0.5986842105263158
0,50,100,0.1,0.1,"(512, 256, 128, 64)",0.5131578947368421,0.5131578947368421
1,50,100,0.1,0.1,"(512, 256, 128, 64)",0.5789473684210527,0.5789473684210527
2,50,100,0.1,0.1,"(512, 256, 128, 64)",0.5460526315789473,0.5460526315789473
3,50,100,0.1,0.1,"(512, 256, 128, 64)",0.5657894736842105,0.5570469798657718
4,50,100,0.1,0.1,"(512, 256, 128, 64)",0.5986842105263158,0.5986842105263158
0,50,300,0.001,0.001,"(512, 256, 128, 64)",0.8355263157894737,0.7731958762886598
1,50,300,0.001,0.001,"(512, 256, 128, 64)",0.8552631578947368,0.851063829787234
2,50,300,0.001,0.001,"(512, 256, 128, 64)",0.875,0.8902439024390244
3,50,300,0.001,0.001,"(512, 256, 128, 64)",0.8289473684210527,0.8202247191011236
4,50,300,0.001,0.001,"(512, 256, 128, 64)",0.8421052631578947,0.8383838383838383
0,50,300,0.001,0.01,"(512, 256, 128, 64)",0.8486842105263158,0.7956989247311828
1,50,300,0.001,0.01,"(512, 256, 128, 64)",0.8947368421052632,0.8673469387755102
2,50,300,0.001,0.01,"(512, 256, 128, 64)",0.9276315789473685,0.9186046511627907
3,50,300,0.001,0.01,"(512, 256, 128, 64)",0.8881578947368421,0.851063829787234
4,50,300,0.001,0.01,"(512, 256, 128, 64)",0.9013157894736842,0.9042553191489362
0,50,300,0.001,0.1,"(512, 256, 128, 64)",0.8947368421052632,0.8444444444444444
1,50,300,0.001,0.1,"(512, 256, 128, 64)",0.8947368421052632,0.86
2,50,300,0.001,0.1,"(512, 256, 128, 64)",0.9473684210526315,0.9120879120879121
3,50,300,0.001,0.1,"(512, 256, 128, 64)",0.8947368421052632,0.8681318681318682
